Absorption and Emission cross sections are only a function of host glass composition,,
Fiber used for Measurement (for data traceability purposes):,,
Fiber ID: 14-A2443-00-3B-16-05A,,
Part Number: FUD-7229 (LMA-YDF-20/400-IX Optical Fiber),,
Yb absorption and emission Cross-Sections for Gen IX glass,,
m,m^2,m^2
wavelength,absorption,emission
7.5000E-07,-9.0000E-27,0.0000E+00
7.5020E-07,-9.0000E-27,0.0000E+00
7.5040E-07,-9.0000E-27,0.0000E+00
7.5060E-07,-9.0000E-27,0.0000E+00
7.5080E-07,-9.0000E-27,0.0000E+00
7.5100E-07,-9.0000E-27,0.0000E+00
7.5120E-07,-9.0000E-27,0.0000E+00
7.5140E-07,-9.0000E-27,0.0000E+00
7.5160E-07,-9.0000E-27,0.0000E+00
7.5180E-07,-9.0000E-27,0.0000E+00
7.5200E-07,9.0000E-27,0.0000E+00
7.5220E-07,9.0000E-27,0.0000E+00
7.5240E-07,9.0000E-27,0.0000E+00
7.5260E-07,9.0000E-27,0.0000E+00
7.5280E-07,9.0000E-27,0.0000E+00
7.5300E-07,9.0000E-27,0.0000E+00
7.5320E-07,9.0000E-27,0.0000E+00
7.5340E-07,9.0000E-27,0.0000E+00
7.5360E-07,9.0000E-27,0.0000E+00
7.5380E-07,9.0000E-27,0.0000E+00
7.5400E-07,9.0000E-27,0.0000E+00
7.5420E-07,9.0000E-27,0.0000E+00
7.5440E-07,9.0000E-27,0.0000E+00
7.5460E-07,9.0000E-27,0.0000E+00
7.5480E-07,8.0000E-27,0.0000E+00
7.5500E-07,8.0000E-27,0.0000E+00
7.5520E-07,8.0000E-27,0.0000E+00
7.5540E-07,8.0000E-27,0.0000E+00
7.5560E-07,8.0000E-27,0.0000E+00
7.5580E-07,8.0000E-27,0.0000E+00
7.5600E-07,8.0000E-27,0.0000E+00
7.5620E-07,8.0000E-27,0.0000E+00
7.5640E-07,8.0000E-27,0.0000E+00
7.5660E-07,8.0000E-27,0.0000E+00
7.5680E-07,8.0000E-27,0.0000E+00
7.5700E-07,8.0000E-27,0.0000E+00
7.5720E-07,8.0000E-27,0.0000E+00
7.5740E-07,8.0000E-27,0.0000E+00
7.5760E-07,8.0000E-27,0.0000E+00
7.5780E-07,8.0000E-27,0.0000E+00
7.5800E-07,8.0000E-27,0.0000E+00
7.5820E-07,8.0000E-27,0.0000E+00
7.5840E-07,8.0000E-27,0.0000E+00
7.5860E-07,8.0000E-27,0.0000E+00
7.5880E-07,8.0000E-27,0.0000E+00
7.5900E-07,8.0000E-27,0.0000E+00
7.5920E-07,8.0000E-27,0.0000E+00
7.5940E-07,8.0000E-27,0.0000E+00
7.5960E-07,8.0000E-27,0.0000E+00
7.5980E-07,8.0000E-27,0.0000E+00
7.6000E-07,8.0000E-27,0.0000E+00
7.6020E-07,8.0000E-27,0.0000E+00
7.6040E-07,8.0000E-27,0.0000E+00
7.6060E-07,8.0000E-27,0.0000E+00
7.6080E-07,8.0000E-27,0.0000E+00
7.6100E-07,8.0000E-27,0.0000E+00
7.6120E-07,8.0000E-27,0.0000E+00
7.6140E-07,8.0000E-27,0.0000E+00
7.6160E-07,8.0000E-27,0.0000E+00
7.6180E-07,8.0000E-27,0.0000E+00
7.6200E-07,8.0000E-27,0.0000E+00
7.6220E-07,8.0000E-27,0.0000E+00
