Absorption and Emission cross sections are only a function of host glass composition,,
Fiber used for Measurement (for data traceability purposes):,,
Fiber ID: 10-A1307-10-3B-13-01,,
Part Number: LMA-YDF-25/250-VIII,,
Yb absorption and emission Cross-Sections for Gen VIII glass,,
m,m^2,m^2
wavelength,absorption,emission
8.0000E-07,2.7000E-27,0.0000E+00
8.0020E-07,2.7000E-27,0.0000E+00
8.0040E-07,2.8000E-27,0.0000E+00
8.0060E-07,2.8000E-27,0.0000E+00
8.0080E-07,2.8000E-27,0.0000E+00
8.0100E-07,2.9000E-27,0.0000E+00
8.0120E-07,2.9000E-27,0.0000E+00
8.0140E-07,2.9000E-27,0.0000E+00
8.0160E-07,2.9000E-27,0.0000E+00
8.0180E-07,3.0000E-27,0.0000E+00
8.0200E-07,3.0000E-27,0.0000E+00
8.0220E-07,3.1000E-27,0.0000E+00
8.0240E-07,3.1000E-27,0.0000E+00
8.0260E-07,3.1000E-27,0.0000E+00
8.0280E-07,3.2000E-27,0.0000E+00
8.0300E-07,3.2000E-27,0.0000E+00
8.0320E-07,3.2000E-27,0.0000E+00
8.0340E-07,3.3000E-27,0.0000E+00
8.0360E-07,3.3000E-27,0.0000E+00
8.0380E-07,3.4000E-27,0.0000E+00
8.0400E-07,3.4000E-27,0.0000E+00
8.0420E-07,3.4000E-27,0.0000E+00
8.0440E-07,3.5000E-27,0.0000E+00
8.0460E-07,3.5000E-27,0.0000E+00
8.0480E-07,3.6000E-27,0.0000E+00
8.0500E-07,3.6000E-27,0.0000E+00
8.0520E-07,3.7000E-27,0.0000E+00
8.0540E-07,3.7000E-27,0.0000E+00
8.0560E-07,3.8000E-27,0.0000E+00
8.0580E-07,3.8000E-27,0.0000E+00
8.0600E-07,3.8000E-27,0.0000E+00
8.0620E-07,3.9000E-27,0.0000E+00
8.0640E-07,3.9000E-27,0.0000E+00
8.0660E-07,4.0000E-27,0.0000E+00
8.0680E-07,4.0000E-27,0.0000E+00
8.0700E-07,4.1000E-27,0.0000E+00
8.0720E-07,4.1000E-27,0.0000E+00
8.0740E-07,4.2000E-27,0.0000E+00
8.0760E-07,4.2000E-27,0.0000E+00
8.0780E-07,4.2000E-27,0.0000E+00
8.0800E-07,4.3000E-27,0.0000E+00
8.0820E-07,4.3000E-27,0.0000E+00
8.0840E-07,4.4000E-27,0.0000E+00
8.0860E-07,4.4000E-27,0.0000E+00
8.0880E-07,4.5000E-27,0.0000E+00
8.0900E-07,4.5000E-27,0.0000E+00
8.0920E-07,4.6000E-27,0.0000E+00
8.0940E-07,4.6000E-27,0.0000E+00
8.0960E-07,4.7000E-27,0.0000E+00
8.0980E-07,4.7000E-27,0.0000E+00
8.1000E-07,4.8000E-27,0.0000E+00
8.1020E-07,4.8000E-27,0.0000E+00
8.1040E-07,4.9000E-27,0.0000E+00
8.1060E-07,4.9000E-27,0.0000E+00
8.1080E-07,5.0000E-27,0.0000E+00
8.1100E-07,5.0000E-27,0.0000E+00
8.1120E-07,5.1000E-27,0.0000E+00
8.1140E-07,5.1000E-27,0.0000E+00
8.1160E-07,5.2000E-27,0.0000E+00
8.1180E-07,5.2000E-27,0.0000E+00
8.1200E-07,5.3000E-27,0.0000E+00
8.1220E-07,5.3000E-27,0.0000E+00
8.1240E-07,5.4000E-27,0.0000E+00
8.1260E-07,5.4000E-27,0.0000E+00
8.1280E-07,5.5000E-27,0.0000E+00
8.1300E-07,5.5000E-27,0.0000E+00
8.1320E-07,5.6000E-27,0.0000E+00
8.1340E-07,5.6000E-27,0.0000E+00
8.1360E-07,5.7000E-27,0.0000E+00
8.1380E-07,5.7000E-27,0.0000E+00
8.1400E-07,5.8000E-27,0.0000E+00
8.1420E-07,5.9000E-27,0.0000E+00
8.1440E-07,5.9000E-27,0.0000E+00
8.1460E-07,6.0000E-27,0.0000E+00
8.1480E-07,6.0000E-27,0.0000E+00
8.1500E-07,6.1000E-27,0.0000E+00
8.1520E-07,6.1000E-27,0.0000E+00
8.1540E-07,6.2000E-27,0.0000E+00
8.1560E-07,6.3000E-27,0.0000E+00
