Absorption and Emission cross sections are only a function of host glass composition,,
Yb-doped Germanosilicate Fiber Cross-sections,,
From R. Paschotta (www.rp-photonics.com),,
,,
Yb absorption and emission Cross-Sections for germanosilicate fibers,,
m,m^2,m^2
wavelength,absorption,emission
8.8750E-07,5.0305E-25,6.6717E-27
8.8800E-07,5.1305E-25,7.1460E-27
8.8850E-07,5.2304E-25,7.6203E-27
8.8900E-07,5.3304E-25,8.0946E-27
8.8950E-07,5.4304E-25,8.5689E-27
8.9000E-07,5.5295E-25,9.0431E-27
8.9050E-07,5.6263E-25,9.5174E-27
8.9100E-07,5.7231E-25,9.9917E-27
8.9150E-07,5.8199E-25,1.0466E-26
8.9200E-07,5.9167E-25,1.0940E-26
8.9250E-07,6.0135E-25,1.1415E-26
8.9300E-07,6.1102E-25,1.1889E-26
8.9350E-07,6.2070E-25,1.2363E-26
8.9400E-07,6.3038E-25,1.2837E-26
8.9450E-07,6.3915E-25,1.3312E-26
8.9500E-07,6.4686E-25,1.3786E-26
8.9550E-07,6.5457E-25,1.4260E-26
8.9600E-07,6.6229E-25,1.4735E-26
8.9650E-07,6.7000E-25,1.5209E-26
8.9700E-07,6.7771E-25,1.5683E-26
8.9750E-07,6.8542E-25,1.6157E-26
8.9800E-07,6.9313E-25,1.6632E-26
8.9850E-07,6.9920E-25,1.7106E-26
8.9900E-07,7.0407E-25,1.7580E-26
8.9950E-07,7.0895E-25,1.8054E-26
9.0000E-07,7.1382E-25,1.8529E-26
9.0050E-07,7.2092E-25,1.9003E-26
9.0100E-07,7.2841E-25,1.9477E-26
9.0150E-07,7.3591E-25,1.9960E-26
9.0200E-07,7.4341E-25,2.0529E-26
9.0250E-07,7.5091E-25,2.1098E-26
9.0300E-07,7.5840E-25,2.1667E-26
9.0350E-07,7.6398E-25,2.2236E-26
9.0400E-07,7.6807E-25,2.2805E-26
9.0450E-07,7.7216E-25,2.3374E-26
9.0500E-07,7.7626E-25,2.3944E-26
9.0550E-07,7.8032E-25,2.4513E-26
9.0600E-07,7.8438E-25,2.5082E-26
9.0650E-07,7.8844E-25,2.5651E-26
9.0700E-07,7.9250E-25,2.6220E-26
9.0750E-07,7.9656E-25,2.6789E-26
9.0800E-07,8.0062E-25,2.7358E-26
9.0850E-07,8.0467E-25,2.7928E-26
9.0900E-07,8.0873E-25,2.8497E-26
9.0950E-07,8.1279E-25,2.9066E-26
9.1000E-07,8.1687E-25,2.9635E-26
9.1050E-07,8.2097E-25,3.0204E-26
9.1100E-07,8.2507E-25,3.0773E-26
9.1150E-07,8.2844E-25,3.1342E-26
9.1200E-07,8.2745E-25,3.1912E-26
9.1250E-07,8.2645E-25,3.2481E-26
9.1300E-07,8.2546E-25,3.3050E-26
9.1350E-07,8.2447E-25,3.3763E-26
9.1400E-07,8.2347E-25,3.4522E-26
9.1450E-07,8.2248E-25,3.5281E-26
9.1500E-07,8.2149E-25,3.6040E-26
9.1550E-07,8.1997E-25,3.6799E-26
9.1600E-07,8.1798E-25,3.7558E-26
9.1650E-07,8.1599E-25,3.8316E-26
9.1700E-07,8.1269E-25,3.9075E-26
9.1750E-07,8.0788E-25,3.9834E-26
9.1800E-07,8.0306E-25,4.0593E-26
9.1850E-07,7.9825E-25,4.1352E-26
9.1900E-07,7.9343E-25,4.2111E-26
9.1950E-07,7.8861E-25,4.2869E-26
9.2000E-07,7.8380E-25,4.3628E-26
9.2050E-07,7.7898E-25,4.4387E-26
9.2100E-07,7.7095E-25,4.5146E-26
9.2150E-07,7.6138E-25,4.5905E-26
9.2200E-07,7.5429E-25,4.6575E-26
9.2250E-07,7.4701E-25,4.7005E-26
9.2300E-07,7.3826E-25,4.7434E-26
9.2350E-07,7.2951E-25,4.7864E-26
9.2400E-07,7.2076E-25,4.8294E-26
9.2450E-07,7.1201E-25,4.8723E-26
9.2500E-07,7.0326E-25,4.9153E-26
9.2550E-07,6.9394E-25,4.9582E-26
9.2600E-07,6.8252E-25,5.0012E-26
9.2650E-07,6.7110E-25,5.0441E-26
9.2700E-07,6.5968E-25,5.0871E-26
9.2750E-07,6.4829E-25,5.1300E-26
9.2800E-07,6.3690E-25,5.1730E-26
9.2850E-07,6.2552E-25,5.2159E-26
9.2900E-07,6.1414E-25,5.2589E-26
9.2950E-07,6.0275E-25,5.3018E-26
9.3000E-07,5.9137E-25,5.3448E-26
9.3050E-07,5.7999E-25,5.3878E-26
9.3100E-07,5.6640E-25,5.4307E-26
9.3150E-07,5.5217E-25,5.4737E-26
9.3200E-07,5.3794E-25,5.5166E-26
9.3250E-07,5.2371E-25,5.5596E-26
9.3300E-07,5.0980E-25,5.6025E-26
9.3350E-07,4.9842E-25,5.6455E-26
9.3400E-07,4.8704E-25,5.6884E-26
9.3450E-07,4.7742E-25,5.7314E-26
9.3500E-07,4.6832E-25,5.7743E-26
9.3550E-07,4.5921E-25,5.8173E-26
9.3600E-07,4.5011E-25,5.8602E-26
9.3650E-07,4.4100E-25,5.9032E-26
9.3700E-07,4.3189E-25,5.9462E-26
9.3750E-07,4.2063E-25,5.9911E-26
9.3800E-07,4.0925E-25,6.0395E-26
9.3850E-07,3.9787E-25,6.0880E-26
9.3900E-07,3.8750E-25,6.1364E-26
9.3950E-07,3.7840E-25,6.1849E-26
9.4000E-07,3.6929E-25,6.2333E-26
9.4050E-07,3.6019E-25,6.2817E-26
9.4100E-07,3.5108E-25,6.3302E-26
9.4150E-07,3.4197E-25,6.3786E-26
9.4200E-07,3.3146E-25,6.4270E-26
9.4250E-07,3.2522E-25,6.4755E-26
9.4300E-07,3.2522E-25,6.5239E-26
9.4350E-07,3.2438E-25,6.5724E-26
9.4400E-07,3.1738E-25,6.6208E-26
9.4450E-07,3.1037E-25,6.6692E-26
9.4500E-07,3.0337E-25,6.7177E-26
9.4550E-07,2.9636E-25,6.7661E-26
9.4600E-07,2.8936E-25,6.8145E-26
9.4650E-07,2.8236E-25,6.8630E-26
9.4700E-07,2.7535E-25,6.9114E-26
9.4750E-07,2.6967E-25,6.9598E-26
9.4800E-07,2.6512E-25,7.0083E-26
9.4850E-07,2.6056E-25,7.0567E-26
9.4900E-07,2.5759E-25,7.1052E-26
9.4950E-07,2.5557E-25,7.1536E-26
9.5000E-07,2.5355E-25,7.2020E-26
9.5050E-07,2.5153E-25,7.2505E-26
9.5100E-07,2.4951E-25,7.2989E-26
9.5150E-07,2.4749E-25,7.4374E-26
9.5200E-07,2.4547E-25,7.5796E-26
9.5250E-07,2.4345E-25,7.7219E-26
9.5300E-07,2.4146E-25,7.8642E-26
9.5350E-07,2.4131E-25,8.0065E-26
9.5400E-07,2.4116E-25,8.1488E-26
9.5450E-07,2.4102E-25,8.2911E-26
9.5500E-07,2.4161E-25,8.4334E-26
9.5550E-07,2.4324E-25,8.5756E-26
9.5600E-07,2.4487E-25,8.7717E-26
9.5650E-07,2.4650E-25,8.9993E-26
9.5700E-07,2.4814E-25,9.2270E-26
9.5750E-07,2.4977E-25,9.4546E-26
9.5800E-07,2.5140E-25,9.6823E-26
9.5850E-07,2.5304E-25,9.9100E-26
9.5900E-07,2.5499E-25,1.0319E-25
9.5950E-07,2.5751E-25,1.0775E-25
9.6000E-07,2.6018E-25,1.1230E-25
9.6050E-07,2.6302E-25,1.1786E-25
9.6100E-07,2.6612E-25,1.2355E-25
9.6150E-07,2.7087E-25,1.2924E-25
9.6200E-07,2.7561E-25,1.3493E-25
9.6250E-07,2.8035E-25,1.4063E-25
9.6300E-07,2.8509E-25,1.4632E-25
9.6350E-07,2.8984E-25,1.5201E-25
9.6400E-07,2.9458E-25,1.5938E-25
9.6450E-07,3.0023E-25,1.6749E-25
9.6500E-07,3.1162E-25,1.7887E-25
9.6550E-07,3.2300E-25,1.9025E-25
9.6600E-07,3.3869E-25,2.0164E-25
9.6650E-07,3.5543E-25,2.1302E-25
9.6700E-07,3.7217E-25,2.2978E-25
9.6750E-07,3.8891E-25,2.5254E-25
9.6800E-07,4.1136E-25,2.7770E-25
9.6850E-07,4.4099E-25,3.1754E-25
9.6900E-07,5.3288E-25,3.5738E-25
9.6950E-07,6.4281E-25,4.2020E-25
9.7000E-07,7.5664E-25,5.0310E-25
9.7050E-07,8.7046E-25,6.0768E-25
9.7100E-07,9.8834E-25,7.3951E-25
9.7150E-07,1.2321E-24,9.0212E-25
9.7200E-07,1.4527E-24,1.0842E-24
9.7250E-07,1.6049E-24,1.3053E-24
9.7300E-07,1.8461E-24,1.5503E-24
